forecast_date,city_id,temp,humidity,wind_speed,rain_prob,description,date_extraction
2020-03-05,2,9.8,76.3,50.9,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-03-04
2020-03-06,2,8.5,57.9,32.5,100.0,Partly cloudy throughout the day with early morning rain.,2020-03-05
2020-03-07,2,6.6,71.5,27.5,0.0,Partly cloudy throughout the day.,2020-03-06
2020-03-08,2,7.4,66.0,16.3,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-03-07
2020-03-09,2,8.1,72.2,25.4,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-03-08
2020-03-10,2,6.7,85.8,12.8,100.0,Cloudy skies throughout the day with morning rain.,2020-03-09
2020-03-11,2,13.1,73.6,7.4,0.0,Clearing in the afternoon.,2020-03-10
2020-03-12,2,12.1,81.0,9.4,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-03-11
2020-03-13,2,9.9,60.3,19.8,0.0,Partly cloudy throughout the day.,2020-03-12
2020-03-14,2,7.7,62.7,17.9,0.0,Clear conditions throughout the day.,2020-03-13
2020-03-15,2,10.1,65.2,42.9,0.0,Partly cloudy throughout the day.,2020-03-14
2020-03-16,2,13.2,49.3,30.9,0.0,Partly cloudy throughout the day.,2020-03-15
2020-03-17,2,13.2,57.1,12.5,0.0,Clearing in the afternoon.,2020-03-16
2020-03-18,2,12.7,69.8,12.7,0.0,Clear conditions throughout the day.,2020-03-17
2020-03-19,2,14.2,60.4,14.3,0.0,Clear conditions throughout the day.,2020-03-18
2020-03-20,2,14.2,52.9,14.4,0.0,Clear conditions throughout the day.,2020-03-19
2020-03-21,2,12.6,68.1,21.4,0.0,Clear conditions throughout the day.,2020-03-20
2020-03-22,2,9.4,74.7,16.3,0.0,Cloudy skies throughout the day.,2020-03-21
2020-03-23,2,10.0,60.1,15.1,0.0,Partly cloudy throughout the day.,2020-03-22
2020-03-24,2,7.0,53.4,16.5,0.0,Clearing in the afternoon.,2020-03-23
2020-03-25,2,6.7,61.6,18.1,0.0,Partly cloudy throughout the day.,2020-03-24
2020-03-26,2,7.6,58.1,26.5,100.0,Partly cloudy throughout the day with rain clearing later.,2020-03-25
2020-03-27,2,8.0,54.0,19.6,0.0,Partly cloudy throughout the day.,2020-03-26
2020-03-28,2,10.5,60.3,18.7,0.0,Clearing in the afternoon.,2020-03-27
2020-03-29,2,8.2,66.0,37.0,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-03-28
2020-03-30,2,5.5,71.1,26.0,0.0,Cloudy skies throughout the day.,2020-03-29
2020-03-31,2,6.2,52.5,14.9,0.0,Clearing in the afternoon.,2020-03-30
2020-04-01,2,8.0,53.9,10.7,0.0,Clear conditions throughout the day.,2020-03-31
2020-04-02,2,9.3,61.2,15.4,0.0,Clearing in the afternoon.,2020-04-01
2020-04-03,2,9.5,50.4,24.4,0.0,Clear conditions throughout the day.,2020-04-02
2020-04-04,2,11.2,52.8,18.2,0.0,Clear conditions throughout the day.,2020-04-03
2020-04-05,2,15.4,38.1,35.1,0.0,Clear conditions throughout the day.,2020-04-04
2020-04-06,2,15.3,39.9,29.3,0.0,Clear conditions throughout the day.,2020-04-05
2020-04-07,2,15.1,47.3,15.0,0.0,Clear conditions throughout the day.,2020-04-06
2020-04-08,2,16.0,43.8,16.3,0.0,Clear conditions throughout the day.,2020-04-07
2020-04-09,2,15.4,46.9,13.5,0.0,Clear conditions throughout the day.,2020-04-08
2020-04-10,2,16.2,47.5,8.4,0.0,Clear conditions throughout the day.,2020-04-09
2020-04-11,2,16.7,45.4,14.0,0.0,Clear conditions throughout the day.,2020-04-10
2020-04-12,2,15.7,45.4,27.3,0.0,Partly cloudy throughout the day.,2020-04-11
2020-04-13,2,15.2,44.7,14.0,0.0,Cloudy skies throughout the day.,2020-04-12
2020-04-14,2,12.6,47.6,32.8,0.0,Clear conditions throughout the day.,2020-04-13
2020-04-15,2,13.8,46.0,21.6,0.0,Clear conditions throughout the day.,2020-04-14
2020-04-16,2,17.3,42.5,27.2,0.0,Partly cloudy throughout the day.,2020-04-15
2020-04-17,2,17.1,39.1,29.8,0.0,Partly cloudy throughout the day.,2020-04-16
2020-04-18,2,17.5,62.2,16.5,100.0,Cloudy skies throughout the day with late afternoon rain.,2020-04-17
2020-04-19,2,14.9,83.4,8.5,100.0,Cloudy skies throughout the day with rain.,2020-04-18
2020-04-20,2,17.0,81.0,9.6,100.0,Cloudy skies throughout the day with rain.,2020-04-19
2020-04-21,2,16.5,68.3,14.5,100.0,Cloudy skies throughout the day with early morning rain.,2020-04-20
