datetime,temp,feels_like,temp_min,temp_max,humidity,wind_speed,rain_prob,description,city_name,city_country,date_extraction
2025-07-12 09:00:00,25.25,25.08,25.25,25.25,48,2.32,0.0,overcast clouds,Toulouse,FR,2025-07-11
2025-07-12 12:00:00,31.56,30.43,31.56,31.56,31,2.34,12.0,broken clouds,Toulouse,FR,2025-07-11
2025-07-12 12:00:00,26.04,26.04,26.04,28.65,44,2.35,0.0,clear sky,Arrondissement de Lyon,FR,2025-07-12
2025-07-12 12:00:00,25.39,25.24,24.49,25.39,48,3.97,0.0,scattered clouds,Arrondissement de Marseille,FR,2025-07-12
2025-07-12 12:00:00,16.66,15.9,16.66,17.32,58,4.24,0.0,clear sky,Arrondissement de Nice,FR,2025-07-12
2025-07-12 12:00:00,25.74,25.65,25.74,27.17,49,2.14,0.0,scattered clouds,Paris,FR,2025-07-12
2025-07-12 12:00:00,25.78,25.95,25.78,27.36,59,3.7,0.0,scattered clouds,Toulouse,FR,2025-07-12
2025-07-12 15:00:00,28.59,28.2,28.59,30.64,40,4.03,0.0,scattered clouds,Arrondissement de Lyon,FR,2025-07-12
2025-07-12 18:00:00,27.87,28.22,26.43,27.87,49,0.43,20.0,light rain,Arrondissement de Lyon,FR,2025-07-12
2025-07-12 21:00:00,24.43,24.65,22.35,24.43,66,1.72,0.0,broken clouds,Arrondissement de Lyon,FR,2025-07-12
2025-07-13 00:00:00,18.69,18.65,18.69,18.69,78,1.78,0.0,overcast clouds,Arrondissement de Lyon,FR,2025-07-12
2025-07-13 03:00:00,18.23,17.88,18.23,18.23,68,1.22,0.0,overcast clouds,Arrondissement de Lyon,FR,2025-07-12
2025-07-13 06:00:00,21.09,20.95,21.09,21.09,65,0.97,0.0,broken clouds,Arrondissement de Lyon,FR,2025-07-12
2025-07-13 09:00:00,28.18,27.69,28.18,28.18,38,0.54,0.0,few clouds,Arrondissement de Lyon,FR,2025-07-12
2025-07-13 12:00:00,32.67,31.23,32.67,32.67,27,0.79,0.0,few clouds,Arrondissement de Lyon,FR,2025-07-12
